year,university,school,degree,Key
2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,1
2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),2
2013,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),3
2013,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,4
2013,Nanyang Technological University,College of Engineering,Aerospace Engineering,5
2013,Nanyang Technological University,College of Engineering,Bioengineering,6
2013,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,7
2013,Nanyang Technological University,College of Engineering,Computer Engineering,8
2013,Nanyang Technological University,College of Engineering,Civil Engineering,9
2013,Nanyang Technological University,College of Engineering,Computer Science,10
2013,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,11
2013,Nanyang Technological University,College of Engineering,Environmental Engineering,12
2013,Nanyang Technological University,College of Engineering,Information Engineering and Media,13
2013,Nanyang Technological University,College of Engineering,Materials Engineering,14
2013,Nanyang Technological University,College of Engineering,Mechanical Engineering,15
2013,Nanyang Technological University,College of Engineering,Maritime Studies,16
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",17
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,18
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,19
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,20
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,21
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,22
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,23
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,24
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences **,25
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine) #,26
2013,Nanyang Technological University,College of Sciences,Biological Sciences,27
2013,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,28
2013,Nanyang Technological University,College of Sciences,Mathematics & Economics **,29
2013,Nanyang Technological University,College of Sciences,Mathematical Science,30
2013,Nanyang Technological University,College of Sciences,Physics / Applied Physics,31
2013,Nanyang Technological University,College of Sciences,Sports Science and Management,32
2013,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),33
2013,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),34
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,35
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),36
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,37
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration,38
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),39
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),40
